HUL_DRS_DESCRIPTOR_ORACLE,uri_type_IDS,HUL_DRS_FILE_ORACLE
433091344,urn-3:FHCL:533567,2472983;3879350;2472982
433091346,urn-3:FHCL:533568,2472985;3879352;2472984
433091348,urn-3:FHCL:533569,2472987;3879354;2472986
433091350,urn-3:FHCL:533570,2472989;3879356;2472988
433091352,urn-3:FHCL:533571,2472991;3879358;2472990
433091354,urn-3:FHCL:533572,2472993;3879360;2472992
433091356,urn-3:FHCL:523917,2453290;3879027;2453289
433091358,urn-3:FHCL:523918,2453292;3879029;2453291
433091360,urn-3:FHCL:523919,2453294;3879031;2453293
433091362,urn-3:FHCL:523920,2453296;3879033;2453295
433091364,urn-3:FHCL:523921,2453298;3879035;2453297
433091366,urn-3:FHCL:523922,2453300;3879037;2453299
433091368,urn-3:FHCL:523923,2453302;3879039;2453301
433091370,urn-3:FHCL:523924,2453304;3879041;2453303
433091372,urn-3:FHCL:523925,2453306;3879043;2453305
433091374,urn-3:FHCL:523926,2453308;3879045;2453307
433091376,urn-3:FHCL:523927,2453310;3879047;2453309
433091378,urn-3:FHCL:523928,2453312;3879049;2453311
433091380,urn-3:FHCL:523929,2453314;3879051;2453313
433091382,urn-3:FHCL:523930,2453316;3879053;2453315
433091384,urn-3:FHCL:523931,2453318;3879055;2453317
433091386,urn-3:FHCL:523932,2453320;3879057;2453319
433091388,urn-3:FHCL:523933,2453321;2453337
433091390,urn-3:FHCL:523934,2453322;2453338
433091392,urn-3:FHCL:523935,2453323;2453339
433091394,urn-3:FHCL:523936,2453324;2453340
433091396,urn-3:FHCL:523937,2453325;2453341
433091398,urn-3:FHCL:523938,2453326;2453342
433091400,urn-3:FHCL:523939,2453327;2453343
433091403,urn-3:FHCL:523940,2453328;2453344
433091404,urn-3:FHCL:523941,2453329;2453345
433091406,urn-3:FHCL:523942,2453330;2453346
433091408,urn-3:FHCL:523943,2453331;2453347
433091410,urn-3:FHCL:523944,2453332;2453348
433091413,urn-3:FHCL:523945,2453333;2453349
433091414,urn-3:FHCL:523946,2453334;2453350
